Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Fairfax County Public Schools,Fairfax High,Chronic Absenteeism,2018 - 2019,289,2300,12.57
2019,Fairfax County Public Schools,Fairfax Villa Elementary,Chronic Absenteeism,2018 - 2019,52,597,8.71
2019,Fairfax County Public Schools,Fairhill Elementary,Chronic Absenteeism,2018 - 2019,25,548,4.56
2019,Fairfax County Public Schools,Fairview Elementary,Chronic Absenteeism,2018 - 2019,27,742,3.64
2019,Fairfax County Public Schools,Falls Church High,Chronic Absenteeism,2018 - 2019,370,2049,18.06
2019,Fairfax County Public Schools,Flint Hill Elementary,Chronic Absenteeism,2018 - 2019,21,697,3.01
2019,Fairfax County Public Schools,Floris Elementary,Chronic Absenteeism,2018 - 2019,50,845,5.92
2019,Fairfax County Public Schools,Forest Edge Elementary,Chronic Absenteeism,2018 - 2019,22,490,4.49
2019,Fairfax County Public Schools,Forestdale Elementary,Chronic Absenteeism,2018 - 2019,60,478,12.55
2019,Fairfax County Public Schools,Forestville Elementary,Chronic Absenteeism,2018 - 2019,37,596,6.21
2019,Fairfax County Public Schools,Fort Belvoir Elementary,Chronic Absenteeism,2018 - 2019,92,898,10.24
2019,Fairfax County Public Schools,Fort Belvoir Upper Elementary,Chronic Absenteeism,2018 - 2019,43,548,7.85
2019,Fairfax County Public Schools,Fort Hunt Elementary,Chronic Absenteeism,2018 - 2019,35,584,5.99
2019,Fairfax County Public Schools,Fox Mill Elementary,Chronic Absenteeism,2018 - 2019,25,553,4.52
2019,Fairfax County Public Schools,Franconia Elementary,Chronic Absenteeism,2018 - 2019,38,540,7.04
2019,Fairfax County Public Schools,Franklin Middle,Chronic Absenteeism,2018 - 2019,65,883,7.36
2019,Fairfax County Public Schools,Freedom Hill Elementary,Chronic Absenteeism,2018 - 2019,53,555,9.55
2019,Fairfax County Public Schools,Frost Middle,Chronic Absenteeism,2018 - 2019,57,1244,4.58
2019,Fairfax County Public Schools,Garfield Elementary,Chronic Absenteeism,2018 - 2019,29,333,8.71
2019,Fairfax County Public Schools,Glasgow Middle,Chronic Absenteeism,2018 - 2019,228,1795,12.7
2019,Fairfax County Public Schools,Glen Forest Elementary,Chronic Absenteeism,2018 - 2019,90,1023,8.8
2019,Fairfax County Public Schools,Graham Road Elementary,Chronic Absenteeism,2018 - 2019,25,407,6.14
2019,Fairfax County Public Schools,Great Falls Elementary,Chronic Absenteeism,2018 - 2019,41,530,7.74
2019,Fairfax County Public Schools,Greenbriar East Elementary,Chronic Absenteeism,2018 - 2019,63,904,6.97
2019,Fairfax County Public Schools,Greenbriar West Elementary,Chronic Absenteeism,2018 - 2019,36,800,4.5
2019,Fairfax County Public Schools,Groveton Elementary,Chronic Absenteeism,2018 - 2019,71,731,9.71
2019,Fairfax County Public Schools,Gunston Elementary,Chronic Absenteeism,2018 - 2019,32,509,6.29
2019,Fairfax County Public Schools,Halley Elementary,Chronic Absenteeism,2018 - 2019,55,558,9.86
2019,Fairfax County Public Schools,Haycock Elementary,Chronic Absenteeism,2018 - 2019,33,986,3.35
2019,Fairfax County Public Schools,Hayfield Elementary,Chronic Absenteeism,2018 - 2019,34,794,4.28
2019,Fairfax County Public Schools,Hayfield Secondary,Chronic Absenteeism,2018 - 2019,262,3055,8.58
2019,Fairfax County Public Schools,Herndon Elementary,Chronic Absenteeism,2018 - 2019,71,797,8.91
2019,Fairfax County Public Schools,Herndon High,Chronic Absenteeism,2018 - 2019,441,2309,19.1
2019,Fairfax County Public Schools,Herndon Middle,Chronic Absenteeism,2018 - 2019,133,1120,11.88
2019,Fairfax County Public Schools,Hollin Meadows Elementary,Chronic Absenteeism,2018 - 2019,77,670,11.49
2019,Fairfax County Public Schools,Holmes Middle,Chronic Absenteeism,2018 - 2019,83,959,8.65
2019,Fairfax County Public Schools,Hughes Middle,Chronic Absenteeism,2018 - 2019,94,1054,8.92
2019,Fairfax County Public Schools,Hunt Valley Elementary,Chronic Absenteeism,2018 - 2019,26,726,3.58
2019,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,Chronic Absenteeism,2018 - 2019,40,805,4.97
2019,Fairfax County Public Schools,Hutchison Elementary,Chronic Absenteeism,2018 - 2019,77,1027,7.5
2019,Fairfax County Public Schools,Hybla Valley Elementary,Chronic Absenteeism,2018 - 2019,134,934,14.35
2019,Fairfax County Public Schools,Irving Middle,Chronic Absenteeism,2018 - 2019,59,1096,5.38
2019,Fairfax County Public Schools,Island Creek Elementary,Chronic Absenteeism,2018 - 2019,37,774,4.78
2019,Fairfax County Public Schools,Jackson Middle,Chronic Absenteeism,2018 - 2019,89,1116,7.97
2019,Fairfax County Public Schools,Justice High,Chronic Absenteeism,2018 - 2019,425,2189,19.42
2019,Fairfax County Public Schools,Keene Mill Elementary,Chronic Absenteeism,2018 - 2019,29,780,3.72
2019,Fairfax County Public Schools,Kent Gardens Elementary,Chronic Absenteeism,2018 - 2019,66,1011,6.53
2019,Fairfax County Public Schools,Key Center,Chronic Absenteeism,2018 - 2019,27,72,37.5
2019,Fairfax County Public Schools,Key Middle,Chronic Absenteeism,2018 - 2019,97,813,11.93
2019,Fairfax County Public Schools,Kilmer Center,Chronic Absenteeism,2018 - 2019,24,66,36.36
2019,Fairfax County Public Schools,Kilmer Middle,Chronic Absenteeism,2018 - 2019,90,1125,8
2019,Fairfax County Public Schools,Kings Glen Elementary,Chronic Absenteeism,2018 - 2019,33,509,6.48
2019,Fairfax County Public Schools,Kings Park Elementary,Chronic Absenteeism,2018 - 2019,60,646,9.29
2019,Fairfax County Public Schools,Lake Anne Elementary,Chronic Absenteeism,2018 - 2019,36,566,6.36
2019,Fairfax County Public Schools,Lake Braddock Secondary,Chronic Absenteeism,2018 - 2019,275,4272,6.44
2019,Fairfax County Public Schools,Lane Elementary,Chronic Absenteeism,2018 - 2019,34,740,4.59
2019,Fairfax County Public Schools,Langley High,Chronic Absenteeism,2018 - 2019,102,1932,5.28
2019,Fairfax County Public Schools,Lanier Middle,Chronic Absenteeism,2018 - 2019,94,1015,9.26
2019,Fairfax County Public Schools,Laurel Hill Elementary,Chronic Absenteeism,2018 - 2019,30,835,3.59
2019,Fairfax County Public Schools,Laurel Ridge Elementary,Chronic Absenteeism,2018 - 2019,30,870,3.45
2019,Fairfax County Public Schools,Lees Corner Elementary,Chronic Absenteeism,2018 - 2019,32,775,4.13
2019,Fairfax County Public Schools,Lemon Road Elementary,Chronic Absenteeism,2018 - 2019,25,579,4.32
2019,Fairfax County Public Schools,Lewis High,Chronic Absenteeism,2018 - 2019,360,1757,20.49
2019,Fairfax County Public Schools,Liberty Middle,Chronic Absenteeism,2018 - 2019,101,1102,9.17
2019,Fairfax County Public Schools,Little Run Elementary,Chronic Absenteeism,2018 - 2019,7,298,2.35
2019,Fairfax County Public Schools,London Towne Elementary,Chronic Absenteeism,2018 - 2019,71,822,8.64
2019,Fairfax County Public Schools,Longfellow Middle,Chronic Absenteeism,2018 - 2019,58,1322,4.39
2019,Fairfax County Public Schools,Lorton Station Elementary,Chronic Absenteeism,2018 - 2019,58,880,6.59
2019,Fairfax County Public Schools,Lynbrook Elementary,Chronic Absenteeism,2018 - 2019,44,533,8.26
2019,Fairfax County Public Schools,Madison High,Chronic Absenteeism,2018 - 2019,177,2205,8.03
2019,Fairfax County Public Schools,Mantua Elementary,Chronic Absenteeism,2018 - 2019,33,1093,3.02
2019,Fairfax County Public Schools,Marshall High,Chronic Absenteeism,2018 - 2019,310,2252,13.77
2019,Fairfax County Public Schools,Marshall Road Elementary,Chronic Absenteeism,2018 - 2019,64,762,8.4
2019,Fairfax County Public Schools,Mason Crest Elementary,Chronic Absenteeism,2018 - 2019,31,497,6.24
2019,Fairfax County Public Schools,McLean High,Chronic Absenteeism,2018 - 2019,143,2267,6.31
2019,Fairfax County Public Schools,McNair Elementary,Chronic Absenteeism,2018 - 2019,130,1266,10.27
2019,Fairfax County Public Schools,Mosby Woods Elementary,Chronic Absenteeism,2018 - 2019,52,1040,5
2019,Fairfax County Public Schools,Mount Eagle Elementary,Chronic Absenteeism,2018 - 2019,18,367,4.9
2019,Fairfax County Public Schools,Mount Vernon High,Chronic Absenteeism,2018 - 2019,438,1981,22.11
2019,Fairfax County Public Schools,Mount Vernon Woods Elementary,Chronic Absenteeism,2018 - 2019,69,611,11.29
2019,Fairfax County Public Schools,Mountain View High,Chronic Absenteeism,2018 - 2019,80,200,40
2019,Fairfax County Public Schools,Navy Elementary,Chronic Absenteeism,2018 - 2019,29,996,2.91
2019,Fairfax County Public Schools,Newington Forest Elementary,Chronic Absenteeism,2018 - 2019,40,520,7.69
2019,Fairfax County Public Schools,North Springfield Elementary,Chronic Absenteeism,2018 - 2019,34,421,8.08
2019,Fairfax County Public Schools,Oak Hill Elementary,Chronic Absenteeism,2018 - 2019,26,841,3.09
2019,Fairfax County Public Schools,Oak View Elementary,Chronic Absenteeism,2018 - 2019,35,830,4.22
2019,Fairfax County Public Schools,Oakton Elementary,Chronic Absenteeism,2018 - 2019,26,785,3.31
2019,Fairfax County Public Schools,Oakton High,Chronic Absenteeism,2018 - 2019,284,2755,10.31
2019,Fairfax County Public Schools,Olde Creek Elementary,Chronic Absenteeism,2018 - 2019,27,382,7.07
2019,Fairfax County Public Schools,Orange Hunt Elementary,Chronic Absenteeism,2018 - 2019,40,969,4.13
2019,Fairfax County Public Schools,Parklawn Elementary,Chronic Absenteeism,2018 - 2019,34,606,5.61
2019,Fairfax County Public Schools,Pine Spring Elementary,Chronic Absenteeism,2018 - 2019,48,553,8.68
2019,Fairfax County Public Schools,Poe Middle,Chronic Absenteeism,2018 - 2019,122,915,13.33
2019,Fairfax County Public Schools,Poplar Tree Elementary,Chronic Absenteeism,2018 - 2019,31,707,4.38
2019,Fairfax County Public Schools,Powell Elementary,Chronic Absenteeism,2018 - 2019,26,913,2.85
2019,Fairfax County Public Schools,Providence Elementary,Chronic Absenteeism,2018 - 2019,69,888,7.77
2019,Fairfax County Public Schools,Ravensworth Elementary,Chronic Absenteeism,2018 - 2019,9,567,1.59
2019,Fairfax County Public Schools,Riverside Elementary,Chronic Absenteeism,2018 - 2019,59,773,7.63
2019,Fairfax County Public Schools,Robinson Secondary,Chronic Absenteeism,2018 - 2019,271,3817,7.1
2019,Fairfax County Public Schools,Rocky Run Middle,Chronic Absenteeism,2018 - 2019,63,1275,4.94
2019,Fairfax County Public Schools,Rolling Valley Elementary,Chronic Absenteeism,2018 - 2019,30,584,5.14
2019,Fairfax County Public Schools,Rose Hill Elementary,Chronic Absenteeism,2018 - 2019,55,657,8.37
2019,Fairfax County Public Schools,Sandburg Middle,Chronic Absenteeism,2018 - 2019,195,1515,12.87
2019,Fairfax County Public Schools,Sangster Elementary,Chronic Absenteeism,2018 - 2019,25,985,2.54
2019,Fairfax County Public Schools,Saratoga Elementary,Chronic Absenteeism,2018 - 2019,41,630,6.51
2019,Fairfax County Public Schools,Sherman Elementary,Chronic Absenteeism,2018 - 2019,25,386,6.48
2019,Fairfax County Public Schools,Shrevewood Elementary,Chronic Absenteeism,2018 - 2019,54,772,6.99
2019,Fairfax County Public Schools,Silverbrook Elementary,Chronic Absenteeism,2018 - 2019,36,835,4.31
2019,Fairfax County Public Schools,Sleepy Hollow Elementary,Chronic Absenteeism,2018 - 2019,25,449,5.57
2019,Fairfax County Public Schools,South County High,Chronic Absenteeism,2018 - 2019,198,2241,8.84
2019,Fairfax County Public Schools,South County Middle,Chronic Absenteeism,2018 - 2019,78,1080,7.22
2019,Fairfax County Public Schools,South Lakes High,Chronic Absenteeism,2018 - 2019,325,2461,13.21
2019,Fairfax County Public Schools,Spring Hill Elementary,Chronic Absenteeism,2018 - 2019,47,1051,4.47
2019,Fairfax County Public Schools,Springfield Estates Elementary,Chronic Absenteeism,2018 - 2019,40,784,5.1
2019,Fairfax County Public Schools,Stenwood Elementary,Chronic Absenteeism,2018 - 2019,29,553,5.24
2019,Fairfax County Public Schools,Stone Middle,Chronic Absenteeism,2018 - 2019,72,768,9.38
2019,Fairfax County Public Schools,Stratford Landing Elementary,Chronic Absenteeism,2018 - 2019,27,750,3.6
2019,Fairfax County Public Schools,Sunrise Valley Elementary,Chronic Absenteeism,2018 - 2019,48,589,8.15
2019,Fairfax County Public Schools,Terra Centre Elementary,Chronic Absenteeism,2018 - 2019,19,565,3.36
2019,Fairfax County Public Schools,Terraset Elementary,Chronic Absenteeism,2018 - 2019,38,578,6.57
2019,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,Chronic Absenteeism,2018 - 2019,52,1772,2.93
2019,Fairfax County Public Schools,Thoreau Middle,Chronic Absenteeism,2018 - 2019,67,1212,5.53
2019,Fairfax County Public Schools,Timber Lane Elementary,Chronic Absenteeism,2018 - 2019,41,581,7.06
2019,Fairfax County Public Schools,Twain Middle,Chronic Absenteeism,2018 - 2019,91,1061,8.58
2019,Fairfax County Public Schools,Union Mill Elementary,Chronic Absenteeism,2018 - 2019,35,973,3.6
2019,Fairfax County Public Schools,Vienna Elementary,Chronic Absenteeism,2018 - 2019,13,451,2.88
2019,Fairfax County Public Schools,Virginia Run Elementary,Chronic Absenteeism,2018 - 2019,38,650,5.85
2019,Fairfax County Public Schools,Wakefield Forest Elementary,Chronic Absenteeism,2018 - 2019,15,668,2.25
2019,Fairfax County Public Schools,Waples Mill Elementary,Chronic Absenteeism,2018 - 2019,45,868,5.18
2019,Fairfax County Public Schools,Washington Mill Elementary,Chronic Absenteeism,2018 - 2019,63,583,10.81
2019,Fairfax County Public Schools,Waynewood Elementary,Chronic Absenteeism,2018 - 2019,22,750,2.93
2019,Fairfax County Public Schools,West Potomac High,Chronic Absenteeism,2018 - 2019,379,2603,14.56
2019,Fairfax County Public Schools,West Springfield Elementary,Chronic Absenteeism,2018 - 2019,12,518,2.32
2019,Fairfax County Public Schools,West Springfield High,Chronic Absenteeism,2018 - 2019,178,2290,7.77
2019,Fairfax County Public Schools,Westbriar Elementary,Chronic Absenteeism,2018 - 2019,49,893,5.49
2019,Fairfax County Public Schools,Westfield High,Chronic Absenteeism,2018 - 2019,263,2681,9.81
2019,Fairfax County Public Schools,Westgate Elementary,Chronic Absenteeism,2018 - 2019,48,559,8.59
2019,Fairfax County Public Schools,Westlawn Elementary,Chronic Absenteeism,2018 - 2019,68,786,8.65
2019,Fairfax County Public Schools,Weyanoke Elementary,Chronic Absenteeism,2018 - 2019,47,516,9.11
2019,Fairfax County Public Schools,White Oaks Elementary,Chronic Absenteeism,2018 - 2019,32,810,3.95
2019,Fairfax County Public Schools,Whitman Middle,Chronic Absenteeism,2018 - 2019,144,1004,14.34
2019,Fairfax County Public Schools,Willow Springs Elementary,Chronic Absenteeism,2018 - 2019,56,1016,5.51
2019,Fairfax County Public Schools,Wolftrap Elementary,Chronic Absenteeism,2018 - 2019,22,577,3.81
2019,Fairfax County Public Schools,Woodburn Elementary,Chronic Absenteeism,2018 - 2019,53,493,10.75
2019,Fairfax County Public Schools,Woodlawn Elementary,Chronic Absenteeism,2018 - 2019,50,512,9.77
2019,Fairfax County Public Schools,Woodley Hills Elementary,Chronic Absenteeism,2018 - 2019,56,586,9.56
2019,Fairfax County Public Schools,Woodson High,Chronic Absenteeism,2018 - 2019,181,2408,7.52
2019,Falls Church City Public Schools,George Mason High,Chronic Absenteeism,2018 - 2019,46,817,5.63
2019,Falls Church City Public Schools,Mary Ellen Henderson Middle,Chronic Absenteeism,2018 - 2019,30,599,5.01
2019,Falls Church City Public Schools,Mount Daniel Elementary,Chronic Absenteeism,2018 - 2019,28,348,8.05
2019,Falls Church City Public Schools,Thomas Jefferson Elementary,Chronic Absenteeism,2018 - 2019,15,777,1.93
2019,Fauquier County Public Schools,Auburn Middle,Chronic Absenteeism,2018 - 2019,22,554,3.97
2019,Fauquier County Public Schools,C. Hunter Ritchie Elementary,Chronic Absenteeism,2018 - 2019,23,454,5.07
2019,Fauquier County Public Schools,C.M. Bradley Elementary,Chronic Absenteeism,2018 - 2019,18,398,4.52
2019,Fauquier County Public Schools,Cedar Lee Middle,Chronic Absenteeism,2018 - 2019,48,642,7.48
2019,Fauquier County Public Schools,Claude Thompson Elementary,Chronic Absenteeism,2018 - 2019,20,274,7.3
2019,Fauquier County Public Schools,Fauquier High,Chronic Absenteeism,2018 - 2019,80,1287,6.22
2019,Fauquier County Public Schools,Grace Miller Elementary,Chronic Absenteeism,2018 - 2019,34,481,7.07
2019,Fauquier County Public Schools,Greenville Elementary,Chronic Absenteeism,2018 - 2019,23,550,4.18
2019,Fauquier County Public Schools,H.M. Pearson Elementary,Chronic Absenteeism,2018 - 2019,32,370,8.65
2019,Fauquier County Public Schools,James G. Brumfield Elementary,Chronic Absenteeism,2018 - 2019,25,506,4.94
2019,Fauquier County Public Schools,Kettle Run High,Chronic Absenteeism,2018 - 2019,64,1187,5.39
2019,Fauquier County Public Schools,Liberty High,Chronic Absenteeism,2018 - 2019,120,1229,9.76
2019,Fauquier County Public Schools,Margaret M. Pierce Elementary,Chronic Absenteeism,2018 - 2019,35,539,6.49
2019,Fauquier County Public Schools,Marshall Middle,Chronic Absenteeism,2018 - 2019,22,489,4.5
2019,Fauquier County Public Schools,Mary Walter Elementary,Chronic Absenteeism,2018 - 2019,42,417,10.07
2019,Fauquier County Public Schools,P.B. Smith Elementary,Chronic Absenteeism,2018 - 2019,22,394,5.58
2019,Fauquier County Public Schools,W.C. Taylor Middle,Chronic Absenteeism,2018 - 2019,36,466,7.73
2019,Fauquier County Public Schools,W.G. Coleman Elementary,Chronic Absenteeism,2018 - 2019,22,337,6.53
2019,Fauquier County Public Schools,Warrenton Middle,Chronic Absenteeism,2018 - 2019,27,411,6.57
2019,Floyd County Public Schools,Check Elementary,Chronic Absenteeism,2018 - 2019,31,297,10.44
2019,Floyd County Public Schools,Floyd County High,Chronic Absenteeism,2018 - 2019,82,779,10.53
2019,Floyd County Public Schools,Floyd Elementary,Chronic Absenteeism,2018 - 2019,50,483,10.35
2019,Floyd County Public Schools,Indian Valley Elementary,Chronic Absenteeism,2018 - 2019,3,131,2.29
2019,Floyd County Public Schools,Willis Elementary,Chronic Absenteeism,2018 - 2019,23,186,12.37
2019,Fluvanna County Public Schools,Carysbrook Elementary,Chronic Absenteeism,2018 - 2019,41,481,8.52
2019,Fluvanna County Public Schools,Central Elementary,Chronic Absenteeism,2018 - 2019,75,471,15.92
2019,Fluvanna County Public Schools,Fluvanna County High,Chronic Absenteeism,2018 - 2019,310,1428,21.71
2019,Fluvanna County Public Schools,Fluvanna Middle,Chronic Absenteeism,2018 - 2019,138,865,15.95
2019,Fluvanna County Public Schools,West Central Primary School,Chronic Absenteeism,2018 - 2019,29,214,13.55
2019,Franklin City Public Schools,Franklin High,Chronic Absenteeism,2018 - 2019,51,286,17.83
2019,Franklin City Public Schools,Joseph P. King Jr. Middle,Chronic Absenteeism,2018 - 2019,17,221,7.69
2019,Franklin City Public Schools,S.P. Morton Elementary,Chronic Absenteeism,2018 - 2019,89,469,18.98
2019,Franklin County Public Schools,Benjamin Franklin Middle,Chronic Absenteeism,2018 - 2019,75,762,9.84
2019,Franklin County Public Schools,Boones Mill Elementary,Chronic Absenteeism,2018 - 2019,9,300,3
2019,Franklin County Public Schools,Burnt Chimney Elementary,Chronic Absenteeism,2018 - 2019,9,258,3.49
2019,Franklin County Public Schools,Callaway Elementary,Chronic Absenteeism,2018 - 2019,9,222,4.05
2019,Franklin County Public Schools,Dudley Elementary,Chronic Absenteeism,2018 - 2019,14,260,5.38
2019,Franklin County Public Schools,Ferrum Elementary,Chronic Absenteeism,2018 - 2019,13,214,6.07
2019,Franklin County Public Schools,Franklin County High,Chronic Absenteeism,2018 - 2019,224,2023,11.07
2019,Franklin County Public Schools,Glade Hill Elementary,Chronic Absenteeism,2018 - 2019,27,236,11.44
2019,Franklin County Public Schools,Henry Elementary,Chronic Absenteeism,2018 - 2019,17,186,9.14
2019,Franklin County Public Schools,Lee M. Waid Elementary,Chronic Absenteeism,2018 - 2019,41,339,12.09
2019,Franklin County Public Schools,Rocky Mount Elementary,Chronic Absenteeism,2018 - 2019,22,331,6.65
2019,Franklin County Public Schools,Snow Creek Elementary,Chronic Absenteeism,2018 - 2019,9,181,4.97
2019,Franklin County Public Schools,Sontag Elementary,Chronic Absenteeism,2018 - 2019,19,304,6.25
2019,Franklin County Public Schools,Windy Gap Elementary,Chronic Absenteeism,2018 - 2019,12,293,4.1
2019,Frederick County Public Schools,Admiral Richard E. Byrd Middle,Chronic Absenteeism,2018 - 2019,87,972,8.95
2019,Frederick County Public Schools,Apple Pie Ridge Elementary,Chronic Absenteeism,2018 - 2019,39,447,8.72
2019,Frederick County Public Schools,Armel Elementary,Chronic Absenteeism,2018 - 2019,36,636,5.66
2019,Frederick County Public Schools,Bass-Hoover Elementary,Chronic Absenteeism,2018 - 2019,46,611,7.53
2019,Frederick County Public Schools,Evendale Elementary,Chronic Absenteeism,2018 - 2019,42,525,8
2019,Frederick County Public Schools,Frederick County Middle,Chronic Absenteeism,2018 - 2019,90,709,12.69
2019,Frederick County Public Schools,Gainesboro Elementary,Chronic Absenteeism,2018 - 2019,51,442,11.54
2019,Frederick County Public Schools,Greenwood Mill Elementary,Chronic Absenteeism,2018 - 2019,42,631,6.66
2019,Frederick County Public Schools,Indian Hollow Elementary,Chronic Absenteeism,2018 - 2019,37,413,8.96
2019,Frederick County Public Schools,James Wood High,Chronic Absenteeism,2018 - 2019,178,1301,13.68
2019,Frederick County Public Schools,James Wood Middle,Chronic Absenteeism,2018 - 2019,104,943,11.03
2019,Frederick County Public Schools,Middletown Elementary,Chronic Absenteeism,2018 - 2019,43,466,9.23
2019,Frederick County Public Schools,Millbrook High,Chronic Absenteeism,2018 - 2019,260,1414,18.39
2019,Frederick County Public Schools,Orchard View Elementary,Chronic Absenteeism,2018 - 2019,30,487,6.16
2019,Frederick County Public Schools,Redbud Run Elementary,Chronic Absenteeism,2018 - 2019,73,698,10.46
2019,Frederick County Public Schools,Robert E. Aylor Middle,Chronic Absenteeism,2018 - 2019,69,606,11.39
2019,Frederick County Public Schools,Sherando High,Chronic Absenteeism,2018 - 2019,227,1446,15.7
2019,Frederick County Public Schools,Stonewall Elementary,Chronic Absenteeism,2018 - 2019,60,650,9.23
2019,Fredericksburg City Public Schools,Hugh Mercer Elementary,Chronic Absenteeism,2018 - 2019,136,917,14.83
2019,Fredericksburg City Public Schools,James Monroe High,Chronic Absenteeism,2018 - 2019,55,1001,5.49
2019,Fredericksburg City Public Schools,Lafayette Upper Elementary,Chronic Absenteeism,2018 - 2019,87,838,10.38
2019,Fredericksburg City Public Schools,Walker-Grant Middle,Chronic Absenteeism,2018 - 2019,82,762,10.76
2019,Galax City Public Schools,Galax Elementary,Chronic Absenteeism,2018 - 2019,42,521,8.06
2019,Galax City Public Schools,Galax High,Chronic Absenteeism,2018 - 2019,63,451,13.97
2019,Galax City Public Schools,Galax Middle,Chronic Absenteeism,2018 - 2019,22,294,7.48
2019,Giles County Public Schools,Eastern Elementary/Middle ,Chronic Absenteeism,2018 - 2019,52,403,12.9
2019,Giles County Public Schools,Giles High,Chronic Absenteeism,2018 - 2019,63,618,10.19
2019,Giles County Public Schools,Macy Mcclaugherty Elementary/Middle,Chronic Absenteeism,2018 - 2019,97,528,18.37
2019,Giles County Public Schools,Narrows Elementary/Middle ,Chronic Absenteeism,2018 - 2019,80,459,17.43
2019,Giles County Public Schools,Narrows High,Chronic Absenteeism,2018 - 2019,49,334,14.67
2019,Gloucester County Public Schools,Abingdon Elementary,Chronic Absenteeism,2018 - 2019,44,565,7.79
2019,Gloucester County Public Schools,Achilles Elementary,Chronic Absenteeism,2018 - 2019,24,409,5.87
2019,Gloucester County Public Schools,Bethel Elementary,Chronic Absenteeism,2018 - 2019,26,468,5.56
2019,Gloucester County Public Schools,Botetourt Elementary,Chronic Absenteeism,2018 - 2019,37,598,6.19
2019,Gloucester County Public Schools,Gloucester High,Chronic Absenteeism,2018 - 2019,329,1750,18.8
2019,Gloucester County Public Schools,Page Middle,Chronic Absenteeism,2018 - 2019,65,542,11.99
2019,Gloucester County Public Schools,Peasley Middle,Chronic Absenteeism,2018 - 2019,92,590,15.59
2019,Gloucester County Public Schools,Petsworth Elementary,Chronic Absenteeism,2018 - 2019,8,297,2.69
2019,Goochland County Public Schools,Byrd Elementary,Chronic Absenteeism,2018 - 2019,28,302,9.27
2019,Goochland County Public Schools,Goochland Elementary,Chronic Absenteeism,2018 - 2019,20,318,6.29
2019,Goochland County Public Schools,Goochland High,Chronic Absenteeism,2018 - 2019,110,847,12.99
2019,Goochland County Public Schools,Goochland Middle,Chronic Absenteeism,2018 - 2019,69,626,11.02
2019,Goochland County Public Schools,Randolph Elementary,Chronic Absenteeism,2018 - 2019,31,470,6.6
2019,Grayson County Public Schools,Fairview Elementary,Chronic Absenteeism,2018 - 2019,12,122,9.84
2019,Grayson County Public Schools,Fries Elementary,Chronic Absenteeism,2018 - 2019,22,239,9.21
2019,Grayson County Public Schools,Grayson County High,Chronic Absenteeism,2018 - 2019,31,441,7.03
2019,Grayson County Public Schools,Grayson Highlands,Chronic Absenteeism,2018 - 2019,6,134,4.48
2019,Grayson County Public Schools,Independence Elementary,Chronic Absenteeism,2018 - 2019,22,279,7.89
2019,Grayson County Public Schools,Independence Middle,Chronic Absenteeism,2018 - 2019,32,277,11.55
2019,Greene County Public Schools,Nathanael Greene Elementary,Chronic Absenteeism,2018 - 2019,51,390,13.08
2019,Greene County Public Schools,Nathanael Greene Primary School,Chronic Absenteeism,2018 - 2019,46,348,13.22
2019,Greene County Public Schools,Ruckersville Elementary,Chronic Absenteeism,2018 - 2019,39,554,7.04
2019,Greene County Public Schools,William Monroe High,Chronic Absenteeism,2018 - 2019,193,921,20.96
2019,Greene County Public Schools,William Monroe Middle,Chronic Absenteeism,2018 - 2019,149,727,20.5
2019,Greensville County Public Schools,Belfield Elementary,Chronic Absenteeism,2018 - 2019,38,204,18.63
2019,Greensville County Public Schools,Edward W. Wyatt Middle,Chronic Absenteeism,2018 - 2019,85,487,17.45
2019,Greensville County Public Schools,Greensville County High,Chronic Absenteeism,2018 - 2019,146,652,22.39
2019,Greensville County Public Schools,Greensville Elementary,Chronic Absenteeism,2018 - 2019,192,781,24.58
2019,Halifax County Public Schools,Clays Mill Elementary,Chronic Absenteeism,2018 - 2019,17,137,12.41
2019,Halifax County Public Schools,Cluster Springs Elementary,Chronic Absenteeism,2018 - 2019,44,511,8.61
2019,Halifax County Public Schools,Halifax County High,Chronic Absenteeism,2018 - 2019,185,1437,12.87
2019,Halifax County Public Schools,Halifax County Middle,Chronic Absenteeism,2018 - 2019,170,1109,15.33
2019,Halifax County Public Schools,Meadville Elementary,Chronic Absenteeism,2018 - 2019,19,163,11.66
2019,Halifax County Public Schools,Scottsburg Elementary,Chronic Absenteeism,2018 - 2019,48,240,20
2019,Halifax County Public Schools,Sinai Elementary,Chronic Absenteeism,2018 - 2019,25,194,12.89
2019,Halifax County Public Schools,South Boston Elementary,Chronic Absenteeism,2018 - 2019,64,651,9.83
2019,Halifax County Public Schools,Sydnor Jennings Elementary,Chronic Absenteeism,2018 - 2019,24,165,14.55
2019,Hampton City Public Schools,A.W.E. Bassette Elementary,Chronic Absenteeism,2018 - 2019,68,456,14.91
2019,Hampton City Public Schools,Aberdeen Elementary,Chronic Absenteeism,2018 - 2019,56,435,12.87
2019,Hampton City Public Schools,Alfred S. Forrest Elementary,Chronic Absenteeism,2018 - 2019,48,445,10.79
2019,Hampton City Public Schools,Armstrong Elementary,Chronic Absenteeism,2018 - 2019,13,304,4.28
2019,Hampton City Public Schools,Barron Elementary,Chronic Absenteeism,2018 - 2019,10,347,2.88
